id,Street,Housenumber,Box,Floor,City,Postalcode,Property type,Region,District,Subtype,Price,Type of sale,Construction year,Bedroom Count,Habitable surface,Kitchen type,Furnished,Fireplace,Terrace,Garden,Garden surface,Facades,SwimmingPool,Condition,EPC score,Latitude,Longitude
10673755,Heirweg-Zuid,"40,",0,0.0,Ingelmunster,8770,0,FLANDERS,Roeselare,HOUSE,349000.0,residential_sale,0.0,4.0,190.0,0,False,False,0,True,220.0,0.0,False,0,A,50.9076322,3.2562929
10645823,Lindestraat,25,0,0.0,Mechelen,2800,0,FLANDERS,Mechelen,HOUSE,427000.0,residential_sale,1978.0,3.0,173.0,SEMI_EQUIPPED,0,True,True,True,307.0,3.0,0,TO_BE_DONE_UP,D,51.0056022,4.4790032
10512607,Dudzeels Opperhof,4,0,0.0,DUDZELE,8380,0,FLANDERS,Brugge,HOUSE,435000.0,residential_sale,1986.0,4.0,253.0,INSTALLED,0,True,0,0,424.0,4.0,0,GOOD,B,51.2719619,3.2177681
10469776,Haeghensgoed,30,0,0.0,Laarne,9270,0,FLANDERS,Dendermonde,HOUSE,425000.0,residential_sale,1999.0,3.0,170.0,NOT_INSTALLED,0,True,0,True,153.0,2.0,0,GOOD,B,51.029161,3.862391
10495257,Berkenlaan,34,0,0.0,Ternat,1740,0,FLANDERS,Halle-Vilvoorde,HOUSE,429000.0,residential_sale,1976.0,4.0,157.0,INSTALLED,0,True,True,True,472.0,3.0,0,GOOD,B,50.8750651,4.1837463
10636404,Spaanderstraat,22,0,0.0,Wielsbeke,8710,0,FLANDERS,Tielt,VILLA,435000.0,residential_sale,2007.0,3.0,250.0,INSTALLED,0,True,True,0,600.0,4.0,0,0,B,50.9073857,3.3736399
10622527,Churchilllaan,265,0,0.0,Schoten,2900,URBAN,FLANDERS,Antwerp,HOUSE,429000.0,residential_sale,0.0,3.0,137.0,INSTALLED,False,False,True,True,107.0,2.0,False,JUST_RENOVATED,A,51.2492771,4.4821427
10646939,Ransberg,13,0,0.0,Beersel,1650,0,FLANDERS,Halle-Vilvoorde,HOUSE,439000.0,residential_sale,1953.0,4.0,205.0,SEMI_EQUIPPED,0,True,True,0,775.0,2.0,0,JUST_RENOVATED,B,50.7540769,4.28429
10634723,Ransberg,13,0,0.0,Lot,1651,0,FLANDERS,Halle-Vilvoorde,HOUSE,439000.0,residential_sale,1953.0,4.0,205.0,SEMI_EQUIPPED,0,True,True,0,775.0,2.0,0,JUST_RENOVATED,B,50.7540769,4.28429
10673777,Saint-Laurent,95, 71,7.0,Liège,4000,0,WALLONIE,Liège,APARTMENT,165000.0,residential_sale,0.0,2.0,69.0,0,0,True,0,0,0.0,0.0,0,AS_NEW,G,50.640003,5.5579818
10612674,Weversstraat,41,0,0.0,Asse,1730,URBAN,FLANDERS,Halle-Vilvoorde,MIXED_USE_BUILDING,440000.0,residential_sale,1936.0,2.0,180.0,INSTALLED,0,False,True,0,167.0,2.0,False,AS_NEW,0,50.9088321,4.2034728
10607018,Jozef Wauterslaan,61,0,0.0,Niel,2845,0,FLANDERS,Antwerp,HOUSE,445000.0,residential_sale,1930.0,3.0,314.0,INSTALLED,0,True,True,True,336.0,3.0,0,GOOD,C,51.1113711,4.3352357
10597362,Rue Arbre Sainte-Barbe,39,0,0.0,TIHANGE,4500,0,WALLONIE,Huy,VILLA,445000.0,residential_sale,1960.0,9.0,420.0,SEMI_EQUIPPED,0,True,True,True,6345.0,4.0,0,TO_RENOVATE,D,50.5265903,5.2748343
10502188,Drijhoek,29,0,0.0,Rijkevorsel,2310,FITTED_OUT,FLANDERS,Turnhout,HOUSE,449000.0,residential_sale,1939.0,5.0,227.0,0,0,False,0,0,1220.0,3.0,0,GOOD,C,51.3459701,4.7681395
10648771,Van Lissumstraat,53,0,0.0,Antwerp,2100,URBAN,FLANDERS,Antwerp,MIXED_USE_BUILDING,449900.0,residential_sale,0.0,3.0,327.0,INSTALLED,False,False,True,0,232.0,2.0,False,GOOD,E,51.2076605,4.4564017
